"롯데웰푸드 오잉 노가리칩 청양마요맛, 60g, 16개","36,540",내일(토) 도착 보장,4.5,https://www.coupang.com/vp/products/7563839333?itemId=19992354324&vendorItemId=87032592210&sourceType=CATEGORY&categoryId=194176,product1
"하림 두마리 통닭 (냉장), 2kg, 1개","17,980",내일(토) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/195456196?itemId=561365969&vendorItemId=4475507217&pickType=COU_PICK&sourceType=CATEGORY&categoryId=194176,product2
"매일유업 어메이징 오트 바리스타, 950ml, 10개","27,120",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/6355737116?itemId=19123423070&vendorItemId=85992446197&sourceType=CATEGORY&categoryId=194176,product3
"프라이드 흰다리 새우살 (냉동), 900g, 1개","20,490",내일(토) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/6429303041?itemId=2014395921&vendorItemId=70014167606&sourceType=CATEGORY&categoryId=194176,product4
"매일유업 매일야채 고농축 토마토의 힘, 125ml, 24개","22,780",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/6441727638?itemId=20143258850&vendorItemId=81196318587&sourceType=CATEGORY&categoryId=194176,product5
"해맑은푸드 대용량 황태채 실속형 (냉동), 500g, 1개","17,800",내일(토) 새벽 도착 보장,4.5,https://www.coupang.com/vp/products/7121866710?itemId=17834053823&vendorItemId=5022179547&sourceType=CATEGORY&categoryId=194176,product6
"상하목장 유기농 저지방 멸균우유, 200ml, 24개","24,500",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/7070758844?itemId=19844860948&vendorItemId=4363604988&sourceType=CATEGORY&categoryId=194176,product7
"양반 현미밥, 130g, 24개","18,810",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/5829376555?itemId=10083400939&vendorItemId=77366283081&sourceType=CATEGORY&categoryId=194176,product8
"곰곰 GAP 고당도 제주감귤, 2.5kg, 1박스","13,990",내일(토) 새벽 도착 보장,4.5,https://www.coupang.com/vp/products/324259079?itemId=1038231082&vendorItemId=5493553880&sourceType=CATEGORY&categoryId=194176,product9
"청정원 천일염 굵은 소금, 5kg, 1개","18,990",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/7144143930?itemId=1196406&vendorItemId=3001157059&sourceType=CATEGORY&categoryId=194176,product10
"페레로로쉐 초콜릿 3p, 38g, 16개","26,730",내일(토) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/4563558218?itemId=5562873377&vendorItemId=72862250934&sourceType=CATEGORY&categoryId=194176,product11
"하림 치킨너겟 (냉동), 1200g, 1개","12,490",내일(토) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/4567751809?itemId=5575412259&vendorItemId=72874737915&pickType=COU_PICK&sourceType=CATEGORY&categoryId=194176,product12
"매일유업 매일상하목장 유기농 딸기우유 125ml, 24개","19,930",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/7475928588?itemId=13043219094&vendorItemId=3000244420&sourceType=CATEGORY&categoryId=194176,product13
"하림 참 토종닭 백숙용 (냉장), 1100g, 1개","13,050",내일(토) 새벽 도착 보장,4.5,https://www.coupang.com/vp/products/188262980?itemId=537699083&vendorItemId=4404178139&sourceType=CATEGORY&categoryId=194176,product14
"안국건강 루테인 지아잔틴 미니, 180정, 1개","34,050",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/7568064592?itemId=19952555841&vendorItemId=71619989627&sourceType=CATEGORY&categoryId=194176,product15
"목우촌 국내산 소고기 양지 세절 국거리용 (냉장), 300g, 1개","11,980",내일(토) 새벽 도착 보장,4.5,https://www.coupang.com/vp/products/1267767150?itemId=2271396043&vendorItemId=70268609273&sourceType=CATEGORY&categoryId=194176,product16
"팜에이트 무농약 유러피안 샐러드 꾸러미, 800g, 1팩","13,900",내일(토) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/7385715280?itemId=19084145509&vendorItemId=86206394187&sourceType=CATEGORY&categoryId=194176,product17
"팔도 밥알없는 비락 식혜, 175ml, 90개","25,140",내일(토) 도착 보장,5.0,https://www.coupang.com/vp/products/393790?itemId=18567259384&vendorItemId=85322100587&sourceType=CATEGORY&categoryId=194176,product18
