brand,prod_name,id,star_rate,review
브이티,VT 리들샷 100 에센스,간호산데여,5,환절기에 피부 뒤집어져서 반신반의 하며 샀는데 지인짜 효과 지대로에요ㅎㅎㅎㅎ바를때 물론 자극이 있긴한데 효과가 너무 좋아서 걍 참고 사용합니당저는 울긋불긋 올라왔을 때 바르면 바로 진정되는 것 같더라구요? 이거 쓰고 요철도 진짜 많이 줄어들었어요!! 완전 겁나 지대 추천합니당특히 저는 생리 주기 다가오면 피부가 다 뒤집어지는 사람인데 니들샷 바르고 난 뒤부터는 안뒤집어졌어요:)그런 고민 있으신 분들껜 완전 추천드립니당~
브이티,VT 리들샷 100 에센스,올영메이트인데요,5,"온라인으로 주문하고 한달동안 사용해봤는데 이번주부터 우리 매장에도 들어왔다~~~자연유래 시카리들로 인해 따끔거림이 느껴지는건 정상! 한달동안 꾸준히 사용했는데 따끔거림에 무뎌짐 이제 300도 써볼 수 있을듯?이게 효과가 있는건가? 싶어서 사용첫날 찍었던 사진이랑 비교해봤는데 있더라…첫번째사진이 12/1 사용첫날, 두번째 사진이 한달째인 오늘인데 코옆이랑 눈가에 결개선효과 보이시나요? 레티놀크림 꾸준히 발라줬을때도 효과 없었는데 한달만에 쳐진모공결 끌어올려진느낌!! 따끔거림도 사용하다보면 무뎌짐리들샷이 다음에 사용하는 제품의 유효성분 흡수를 도와주기 때문에 피부상태별로 다른 단계로 사용했는데 저는 미백/탄력 위주로 사용했어요보통피부 : 패드-리들샷-비타민씨앰플-레티놀크림-보습크림생리전뾰루지피부 : 패드-리들샷-진정앰플(시카)-수분크림-보습크림일주일에 한 번 하는 피부관리날 : 패드-리들샷-마스크팩-크림 (원래 이 날은 마스크팩하고 디바이스 사용해주는 편인데 리들샷=바르는 디바이스라고 생각해서 같이 사용하는건 비추라 한달동안 리들샷만 씀)단계마다 흡수시켜주기위해 바로바로 바르는 것보다 20-30초 텀 주고 사용하는게 좋고 저는 세번째 사진처럼 손등에 세번 펌핑해준다음 하나는 왼쪽볼, 하나는 오른쪽볼, 하나는 이마랑 코턱에 펴바르고 손바닥으로 꾸욱꾸욱 눌러준 다음 앰플or마스크팩 했어요이것만 단독사용보다는 다른 기초제품의 흡수를 돕는 보조제느낌으로 생각하시면 좋을 것 같아요 강추!(울매장…4개들어오자마자 다 털림…인기템 인정)"
브이티,VT 리들샷 100 에센스,hareen,5,아주 잘쓰고 있어요!!!! 처음에 따가운게 적응이 안됐는데자주쓰니까 적응이 되네여..!!
브이티,VT 리들샷 100 에센스,콩이파더22,5,리들샷 요즘 엄청 핫 하죠다이소에서 파는 것도 겨우 구해서 쓰다가 올영에서 본품 구매해봅니다.가격은 다이소가 훨씬 저렴한데 구하기가. 쉽지않으니.. ㅎㅎ손으로 흡수시키면 너무 따가워서 아이쿨러나 수저 얼린 걸로 문질러줍니다 ㅎㅎ하나도 안아파요 ㅎㅎ리들샷 사용 후 콜라겐마스크팩으로 마무리하니더 효과적이네요
브이티,VT 리들샷 100 에센스,이단콩,5,"리들샷 특성상 시카 니들이 포함돼있어 자극이 느껴지는건 당연한 부분이예요〰️다만 리들샷 100-300-700 순으로 적응하면서 사용하는걸 추천드립니다!!저는 일단 피부가 다 뒤집어진날 100과 300을 구매해서 바르기 시작했어요첫번째 사진이 제 피부가 요지경이 된 날이랍니다아100을 바르고 난 바로 다음날 피부가 확 가라앉는 걸 보고 진짜 신세계를 경험했어요(2번째사진이 바로 다음날)그날 부터 100과 300을 간격에 맞춰서 발라줬답니다!!100 처음 바른날은 살짝 따끔거리는게 불편했지만, 이제 100은 거의 따끔한 느낌 없을정도로 적응 됐어요300의 따가움에 무뎌진날 700을 구매했어요물론 무뎌져도 따갑지만, 첫날의 와 미쳤다할 정도의 따가움은 아니랍니다 ㅎㅎ저 엄살쟁이인데 견딜만해요3번째사진이 리들샷 100과 300을 한달차 쓰고 700을 쓰기 시작한 시점 사진이예요일단, 트러블이 확 줄기도 했지만 붉은기와 모공이 진짜 좋아졌어요!! 왜 인플루언서들이 리들샷 극찬을 했는지 몸소 체감중입니다700 딱 한번 써본 시점인 지금은 리들샷 700의 고통은 이루 말할 수 없을정도지만 100과 300의 효과가 너무 좋았어서 아픔을 참고 쓸거예요700도 한달차 후기를 가져올게요!!참고로 700의 아픔은 정확히 300의 2배고 피부에 유리조각을 문대는 느낌,,* 참고로 100과 300은 50ml 700은 30ml 입니다!! 700은 일주일에 1회 사용이라 30ml 라도 사용기간이 꽤 길거라 생각해요제형은 100-300-700 순으로 되직해지는 제형입니다✨제 리뷰가 도움 되셨다면 하단에 [도움돼요]를 눌러주세요✨"
브이티,VT 리들샷 100 에센스,올올덕,5,항상 트러블과 붉은기가 고민이었는데Vt 리들샷이 효과가 좋기로유명해서 사용해보게 되었습니다생각보다 처음 사용했을때도별로 따끔거리지 않았고이마저도 점점 덜 해졌습니다!사용 후 피부가 매끈해져서요철이 고민이시라면 사용해보시는 걸추천드려요무엇보다 이렇게 짧은 시일내에이정도로 효과를 봤기에앞으로 얼마나 피부가 더 좋아질지기대가 되는 것 같습니다:)
브이티,VT 리들샷 100 에센스,안녕하숙까,5,민감하고 악건성인 저와 그냥 저냥 다 잘 맞는 무난 언니가 같이 쓰고 있습니다. 민감한 저는 생각보다 자극을 못 느껶지만 언니는 아프다고 합니다!효과는 둘다 엄청 났다.. 노루궁댕이? 무슨 모르겎고 그냥 얼굴이 애기궁댕이 같다~300도 바로 구맹ㅎ
브이티,VT 리들샷 100 에센스,jwwcat,5,에센스 자체의 보습력은 거의 없고 이후 단계에 바를 기초의 흡수력을 높이는데에 도움줘요피부 위에 롤링하다보면 미세 바늘이 느껴지는데 피부 외곽 두꺼운 부분은 아무것도 안느껴지고 일반 에센스 같다면 피부 안쪽 얇은 부분은 살짝씩 자극이 있어요한달정도 사용해보니 확실히 이전보다 따가운 느낌은 덜합이다 적응됐나봐요이거 발라주고 마스크팩 붙이면 리들샷 안바르고 그냥 마스크팩 붙였을때보다 다음날 훨씬 더 피부 컨디션이 좋은 것 같아요다 쓰고 재구매 할 것 같아요
브이티,VT 리들샷 100 에센스,비니수,5,"엄청 기대하면서 쓰기 시작한 리들샷 100 한달 사용 후기입니다!!사용 전, 사용 후 15일, 현재(사용 후 한달) 사진 첨부했으니 참고해주세용리들샷 제형자체는 아주 부드럽고 매끄럽게 쓱쓱 발리는 제형이에요! 흡수도 아주 빠르구요!바를때 따끔따끔 거리는데 크게 자극감을 느낄정도는 아니었어요제가 느낀 가장 큰 효과는 피부결 입니다!!사진 보시면 아시다시피 사용 전보다 확실히 피부결이 매끈해진게 보이실거에요. 물론 새로운 트러블이 올라오는 것까지 예방하진 못하기 때문에(지금 그날이 다가오고 있는 시기이기는 합니다..ㅜ) 전에는 없었던 새로운 트러블이 있긴합니다. 그래도 전체적으로 상당히 피부결이 좋아진건 확실히 느꼈어요!!!리들샷 사용 후에는 고효능 제품을 써주는게 좋다고합니다! EGF, 레티놀, 레티날, 비타민 요런 제품들 같이 써주면 좋을 것 같구요~ 추가적으로 고민되는 모공, 잡티 등에 효과적인 제품 써주시면 더더 좋으실겁니당왜 이제야 써봤나 싶은 제품이구요다음번에는 300으로 재구매합니다^-^"
브이티,VT 리들샷 100 에센스,Mizthecat,5,리들샷이 너무 유명해서 매장에서 테스트 해봤다가 생각보다 잘 맞는 것 같아서 구매해봤어요!! 300은 자기를 고문하는 거래서 100으로..^^ 좋은 후기로 돌아올 수 있었으면 좋겠네요..
